host_unix_s,host_elapsed_s,host_dt_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw
1789387962.658684,0.009541900013573468,,958027,0.0,0,False,0.0,-180.0,,0.0,,0.0,65027
1789387962.676787,0.027423799969255924,0.017881899955682456,958045,0.018,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.6961186,0.0468752000015229,0.019451400032266974,958066,0.039,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.7169058,0.06841870001517236,0.021543500013649464,958086,0.059,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.7364316,0.08708389999810606,0.0186651999829337,958106,0.079,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.7535493,0.10477450001053512,0.01769060001242906,958126,0.099,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.774822,0.12634139996953309,0.021566899958997965,958146,0.119,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.7945337,0.14552789996378124,0.019186499994248152,958166,0.139,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.8152144,0.16652999992948025,0.021002099965699017,958187,0.16,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.8335862,0.18492259993217885,0.0183926000026986,958207,0.18,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.8596418,0.21045000001322478,0.025527400081045926,958227,0.2,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.8777096,0.22841600002720952,0.01796600001398474,958247,0.22,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.8945427,0.24530690000392497,0.016890899976715446,958268,0.241,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.9137802,0.26459309994243085,0.019286199938505888,958287,0.26,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.933522,0.28463389992248267,0.020040799980051816,958308,0.281,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.9543116,0.30497629998717457,0.0203424000646919,958327,0.3,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.9752746,0.32633359997998923,0.02135729999281466,958348,0.321,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387962.99356,0.3448639999842271,0.01853040000423789,958368,0.341,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.0146666,0.3655293999472633,0.02066539996303618,958388,0.361,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.032927,0.38416070002131164,0.01863130007404834,958408,0.381,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.0533018,0.40421129995957017,0.02005059993825853,958428,0.401,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.0740368,0.4249781999969855,0.020766900037415326,958448,0.421,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.0937972,0.4452496999874711,0.02027149999048561,958469,0.442,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.11363,0.4645332000218332,0.019283500034362078,958489,0.462,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.1339726,0.4846939999843016,0.020160799962468445,958509,0.482,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.1535013,0.5046648000134155,0.01997080002911389,958529,0.502,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.1749122,0.5264200000092387,0.021755199995823205,958549,0.522,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
1789387963.1949637,0.5456926999613643,0.01927269995212555,958569,0.542,0,False,0.0,-180.0,0.0,0.0,0.0,0.0,65027
