host_unix_s,host_elapsed_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw,command_id_sent,command_velocity_pps,manual_speed_setting_pps,key_left,key_right,emergency_stop
1788784954.4702537,0.01978439999948023,50441,0.0,0,False,359.7,-179.7,,0.0,,,-1,5,0.0,250.0,False,False,False
1788784954.4895859,0.03927309999926365,50462,0.021,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.510238,0.06036089999906835,50482,0.041,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.5308352,0.08014749999711057,50503,0.062,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.5524228,0.10187219999716035,50523,0.082,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.5723774,0.12244439999994938,50545,0.104,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.5917604,0.14122839999981807,50565,0.124,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.612424,0.16174259999752394,50585,0.144,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.6328804,0.18223869999928866,50606,0.165,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.6519773,0.20195519999833778,50626,0.185,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.6721492,0.22221709999939776,50646,0.205,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.6925516,0.2426056999975117,50667,0.226,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.7137403,0.26328989999819896,50687,0.246,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.7334096,0.28350139999747626,50708,0.267,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.7540462,0.30355539999800385,50728,0.287,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.7736573,0.32362929999726475,50748,0.307,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.7933543,0.3435098999980255,50769,0.328,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.8140767,0.3638649999993504,50789,0.348,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.8337133,0.38395239999954356,50809,0.368,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.853891,0.403722299997753,50829,0.388,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.874351,0.42428579999977956,50850,0.409,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.8958206,0.44540909999705036,50871,0.43,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.9155653,0.46504039999854285,50891,0.45,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.935357,0.48539249999885214,50911,0.47,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.9555147,0.5054857999966771,50932,0.491,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.9767544,0.5267642999970121,50952,0.511,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784954.9965265,0.545926499999041,50973,0.532,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.0174863,0.5671035999985179,50994,0.553,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.03873,0.5880430999968667,51014,0.573,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.057778,0.6075533999974141,51035,0.594,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.0777047,0.6279589999976452,51055,0.614,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.09931,0.6486629999999423,51076,0.635,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.1190279,0.6691825999987486,51096,0.655,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.1396542,0.6889842999989924,51116,0.675,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.159679,0.7093927999994776,51137,0.696,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.17995,0.7294971999981499,51157,0.716,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
1788784955.199854,0.7495692999982566,51178,0.737,0,False,359.7,-179.7,0.0,0.0,0.0,,-1,6,0.0,250.0,False,False,False
